"Group","GID","MCMDS","MCBSDS","CBSDRS","CGMS1","CGMS2","DM","PLTHT","HI","logDYLD","logFYLD","logTOPYLD","logRTNO"
"DCas20_5629","TARI0026_H01...TZMRK180008",0.0122350525082503,0.0154837802973305,-0.0386863442353137,-0.127690533701453,-0.0178484504588814,0.281431650203242,0.392485431583552,-0.0162931873527159,-0.0655009934664584,0,0.0649496499843504,0.0255972477347177
"DCas20_5629","TARI0026_H02...TZMRK180008",0.00442392623562089,-0.0027502549597771,-0.0284494931588693,-0.124119714498769,-0.017085696787423,0.739149216299734,-0.494081900440073,-0.00279117434213357,-0.00152994824798158,0,0.0741928591285896,0.114298084387883
"DCas20_5629","TARI0026_H03...TZMRK180009_1.968",-0.0219656696367324,0.0173007492779343,0.03186348785858,0.0204196037625537,0.00750276338350499,0.109150891912087,-1.33701246569298,0.0149447014137869,0.0529798964098901,0,0.0937391638236589,0.121903728081006
"DCas20_5629","TARI0026_H04...TZMRK180009",-0.015642493017438,-0.0900569307773304,-0.000952952243994065,0.0466086643420571,0.0224476176044242,0.420152340190117,-1.59486605605847,0.0130816347616385,0.0440050520717662,0,-0.0156361487940343,0.0361027038563082
"DCas20_5629","TARI0026_H05...TZMRK180009",-0.00484770902590421,-0.0697974245682734,0.0107887134759402,0.0518026829469457,0.00779193746184438,-0.380658795562658,-2.54059775766373,0.0127474086087335,-0.0120306176454199,0,-0.013017284724478,0.0307559739577934
"DCas20_5629","TARI0026_H06...TZMRK180009",0.0081724395963366,-0.0849219806450626,0.0264007600252924,0.0590867905919639,0.00430335991809073,-0.05231621761336,0.882111146917502,-0.000895749333825109,-0.0208895982417859,0,0.0450817907547878,0.0515600303673521
"DCas20_5629","TARI0026_H07...TZMRK180009_40.1007",-0.0028440665085404,0.0230543821064925,0.0476688451868425,0.00954612264444717,0.0136030261759803,-0.471008073839718,-0.199663540298056,0.000499660173870306,-0.0495409944410245,0,0.0176259438742908,0.00702055905868901
"DCas20_5629","TARI0026_H08...TZMRK180009",-0.0117264034111812,-0.024104826767781,0.0885695008471928,0.0698391359594314,0.00338310173694937,-0.409951645474465,-1.40330905593462,0.00599987781039375,-0.0448424144155142,0,0.0811167890068088,0.0526896731988165
"DCas20_5629","TARI0026_H09...TZMRK180009",-0.0137136920931174,0.067897326228995,0.034637812608576,0.0618194004756284,0.015129897473843,0.295115669831522,-1.48219364827458,0.00463932470459693,0.0568360856653604,0,0.0175265244307511,0.0473056723627329
"DCas20_5629","TARI0026_H10...TZMRK180009_65.1032",0.00866586089171157,-0.0135528054910224,0.0762748376289864,0.0122346577206429,0.003016442018722,0.300316836565945,-0.551360243491246,0.00690064311150102,-0.0370105202414231,0,0.0462149734412311,0.0410613131894792
"DCas20_5629","TARI0027_A01...TZMRK180009",0.0156187447795972,-0.0218110789829992,0.0801142281259535,0.0819294635907188,0.00216043801742937,-0.21650922070737,-0.37110760457167,-0.0115503097594986,-0.0560573950577017,0,0.109420850286635,0.0554339321219243
"DCas20_5629","TARI0027_A02...TZMRK180009",-0.0140607489964262,-0.00820475998404206,0.0176975838965658,-0.0113745502676427,0.0201340688581328,0.141339616984731,-0.427775451598874,0.0166924267727979,0.0476915654900063,0,-0.0205538467878316,0.0693864755787678
