"germplasmName","FullSampleName"
"TZKBH12HS416","KBH2012_416:CA8RLANXX:2:525806"
"TZKBH12HS425","KBH2012_425:CA8RLANXX:2:525817"
"TZKBH12HS443","KBH2012_443:CA8RLANXX:2:525797"
"TZKBH12HS444","KBH2012_444:CA8RLANXX:2:525826"
"TZKBH12HS460","KBH2012_460:CA8RLANXX:2:525820"
"TZKBH12HS462","KBH2012_462:CA8RLANXX:2:525803"
"TZKBH12HS481","KBH2012_481:CA8RLANXX:2:525781"
"TZKBH12HS504","KBH2012_504:CA8RLANXX:2:525773"
"TZKBH12HS521","KBH2012_521:CA8RLANXX:3:525861"
"TZKBH12HS524","KBH2012_524:CA8RLANXX:2:525821"
"TZKBH12HS553","KBH2012_553:CA8RLANXX:3:525921"
"TZKBH12HS565","KBH2012_565:CA8RLANXX:2:525765"
"TZKBH12HS573","KBH2012_573:CA8RLANXX:2:525855"
"TZKBH12HS575","KBH2012_575:CA8RLANXX:2:525858"
"TZKBH12HS576","KBH2012_576:CA8RLANXX:2:525788"
"TZKBH12HS601","KBH2012_601:CA8RLANXX:2:525833"
"TZKBH12HS606","KBH2012_606:CA8RLANXX:2:525844"
"TZKBH12HS613","KBH2012_613:CA8RLANXX:3:525897"
"TZKBH12HS617","KBH2012_617:CA8RLANXX:2:525805"
"TZKBH12HS619","KBH2012_619:CA8RLANXX:2:525791"
"TZKBH12HS628","KBH2012_628:CA8RLANXX:3:525909"
"TZKBH12HS629","KBH2012_629:CA8RLANXX:2:525769"
"TZKBH12HS666","KBH2012_666:CA8RLANXX:2:525782"
"TZKBH12HS706","KBH2012_706:CA8RLANXX:2:525810"
"TZKBH12HS707","KBH2012_707:CA8RLANXX:2:525860"
"TZKBH12HS728","KBH2012_728:CA8RLANXX:3:525874"
"TZKBH12HS737","KBH2012_737:CA8RLANXX:2:525842"
"TZKBH12HS744","KBH2012_744:CA8RLANXX:2:525825"
"TZKBH12HS746","KBH2012_746:CA8RLANXX:2:525802"
"TZKBH12HS747","KBH2012_747:CA8RLANXX:2:525853"
"TZKBH12HS749","KBH2012_749:CA8RLANXX:2:525829"
"TZKBH12HS800","KBH2012_800:CA8RLANXX:3:525945"
"TZKBH13_233","KBH2013_233:CA8RLANXX:3:525935"
"TZKBH13_254","KBH2013_254:CA8RLANXX:3:525923"
"TZKBH13_494","KBH2013_494:CA8RLANXX:3:525911"
"TZKBH13_696","KBH2013_696:CA8RLANXX:3:525888"
"TZKBH13FS230","KBH2013_230:CA8RLANXX:3:525887"
"TZKBH13FS233","KBH2013_233:CA8RLANXX:3:525935"
"TZKBH13HS1007","KBH2013_1007:CA8RLANXX:3:525863"
"TZKBH13HS1028","KBH2013_1028:CA8RLANXX:3:525946"
"TZKBH13HS1048","KBH2013_1048:CA8RLANXX:3:525875"
"TZKBH13HS1059","KBH2013_1059:CA8RLANXX:3:525900"
"TZKBH13HS120","KBH2013_120:CA8RLANXX:3:525899"
"TZKBH13HS226","KBH2013_226:CA8RLANXX:3:525876"
"TZKBH13HS254","KBH2013_254:CA8RLANXX:3:525923"
"TZKBH13HS490","KBH2013_490:CA8RLANXX:3:525947"
"TZKBH13HS492","KBH2013_492:CA8RLANXX:3:525922"
"TZKBH13HS494","KBH2013_494:CA8RLANXX:3:525911"
"TZKBH13HS529","KBH2013_529:CA8RLANXX:3:525912"
"TZKBH13HS696","KBH2013_696:CA8RLANXX:3:525888"
"TZKBH13HS839","KBH2013_839:CA8RLANXX:3:525898"
"TZKBH13HS965","KBH2013_965:CA8RLANXX:3:525910"
"TZKBH13HSBULK","KBH2013_BULK:CA8RLANXX:3:525934"
"TZKBH14_053","KBH2014_053:CA93YANXX:4:525960"
"TZKBH14_1247","KBH2014_1247:CA8RLANXX:5:526062"
"TZKBH14_1256","KBH2014_1256:CA8RLANXX:5:526143"
"TZKBH14_1283","KBH2014_1283:CA8RLANXX:5:526080"
"TZKBH14_1326","KBH2014_1326:CA8RLANXX:5:526146"
"TZKBH14_140","KBH2014_140:CA93YANXX:4:526019"
"TZKBH14_1440","KBH2014_1440:CA8RLANXX:5:526064"
