"Group","GID","MCMDS","MCBSDS","CBSDRS","CGMS1","CGMS2","DM","PLTHT","HI","logDYLD","logFYLD","logTOPYLD","logRTNO"
"TARI_TP","ALBERT:CA8RLANXX:7:526312",0.0261963544434173,0.101578764939153,0.0506664180860455,0.106537177362853,0.0196877415756797,0.472078441855713,0.750380895705062,0.007979923282931,-0.04248942396726,0.0120727625693779,0.0828502153662182,-0.0313587310077491
"TARI_TP","CH05_203:250442976",0.0084332938086511,0.0532973281013392,0.124919439931185,0.0424590872198661,0.0138284304298343,-0.66228470934668,-1.80159606810277,-0.054057398774108,-0.0563066088331282,0.000355133609209757,0.125035884820829,-0.0663346592783474
"TARI_TP","COLICANANA:250442941",-0.0492417284447551,-0.0503630331302781,0.0206206517291169,0.0496573839183275,0.0917557439546241,-1.40300052229672,-0.863974236360372,0.060230481349153,0.10825455044681,0.0284134358004302,-0.425641111070362,0.0952746692551229
"TARI_TP","EYOPE:250442952",-0.0150841546962552,-0.0693291200914623,-0.0266704946641357,0.112401663761962,0.0131669845448806,0.82836458831795,-3.20462689598984,0.0226366075540494,0.0827655290480702,0.0252131286932659,-0.0223701525238695,0.011305365684891
"TARI_TP","F10_30_R2:250442916",0.022069928419431,-0.0327085055747517,-0.0391360256830764,0.033795469822567,-0.0512717252654869,1.84578513594163,2.23859553735315,-0.00972577157273409,-0.00471202844335895,-0.00973896038424616,0.165642111258969,0.0139892208729325
"TARI_TP","F19_NL:CA8RLANXX:7:526313",0.0225675671280138,0.239745923057236,0.110770517504985,-0.0197995759815114,0.00127709690801542,-1.46327928907229,1.00187426693177,-0.0201792565730687,-0.122691172967035,-0.0104734517922154,0.117765180284224,-0.205230864554643
"TARI_TP","I000388:250300404",-0.0369861762069636,0.0335089446807589,0.0107092561371388,-0.0238053651886784,0.00414514492356078,-0.266468581320377,0.405592754137626,0.0331506058548091,0.0589200703886321,0.0191848533527935,-0.148247256680366,0.0376374838577607
"TARI_TP","I30572:250253643",-0.0532471382285019,-0.0652428714315187,0.00395848712307607,0.0501226428331151,0.0190373807805247,0.603102398760062,1.92390560318896,0.0108924839897299,0.00282419185769355,0.0101997182383978,-0.0904275048504989,0.140365875241852
"TARI_TP","I58308:250304631",-0.0120290199681697,-0.0132461363831588,-0.0297629430329075,0.153409230271166,0.0188158244868649,-0.203492774938478,0.981867242858653,-0.00359243339515987,0.0270437154966137,-0.00600485214359069,-0.0638499646758346,-0.0782248475928958
"TARI_TP","I9101730:250304520",-0.0399009731233928,-0.00996173108196265,0.0100978175312026,0.0808466605777921,0.0246146513271314,-0.634869899692823,0.867577678373229,0.00871380213577943,0.0328282464080927,0.00248502146190485,-0.0937847434036944,-0.0348285320613183
"TARI_TP","I961089A:250300537",-0.0199059247127276,-0.0431266842615202,0.0331601386919116,0.095684901960649,-0.000963392878103135,0.0728035460772269,-0.686059108659274,0.0138843210497463,0.00370681052804636,0.000393997189460873,-0.179021246270417,-0.0475269375027046
"TARI_TP","KALAWE:250442951",0.0370024137812859,0.232259889339314,0.197410467815198,-0.0428894867698777,-0.034238713036105,-0.856235927379962,4.87242931216669,-0.0462788378844594,-0.0807274953063736,0.0135505607785351,0.192104722068227,-0.124241099235181
"TARI_TP","KBH2012_007:CA8RLANXX:2:525850",0.00776296302692811,0.149179762846148,0.024096715627453,0.0033568963239536,0.00996041426820004,0.49958386212453,2.46191124696366,-0.0130290341079108,-0.0654147294554449,-0.014161654526276,0.010933387366301,-0.107132633094227
"TARI_TP","KBH2012_017:CA8RLANXX:2:525857",-0.0441979376678123,-0.101085446523057,-0.0136187710042852,0.0406472275716069,-0.0100070668058246,-0.623602481691108,-5.95643178971391,0.00325549005682668,0.0179855633165407,0.00674788305896548,-0.0210559580868125,-0.0336280679253083
"TARI_TP","KBH2012_041:CA8RLANXX:2:525843",-0.00737886639160737,-0.0663195930535225,0.0790989248410113,0.0621948033608443,0.0236188978883982,-0.391100276817865,1.32826830973465,0.0314023955298636,-0.0888896676307676,0.00671117886273039,-0.0972955258123079,0.0644396354201667
"TARI_TP","KBH2012_044:CA8RLANXX:2:525783",-0.00272043135882386,-0.0797678399875729,0.15249505874054,0.0101369355517435,0.0224410829324475,-0.56148584095647,0.824439546365813,0.045721552197418,-0.0788670771349069,0.0190260632002329,-0.0519191058554507,-0.0059016643168389
"TARI_TP","KBH2012_048:CA8RLANXX:2:525837",-0.0110395031621803,0.0113469131832882,0.0146644935667569,0.0530717547200775,0.00539236170628242,-1.63565844911583,0.732787136955153,0.00768921991849083,-0.00317729003814789,0.0304908703914289,0.156250688200364,-0.0357072234792841
"TARI_TP","KBH2012_062:CA8RLANXX:2:525780",-0.0501664388457558,0.0597540132910248,-0.0235623378369884,-0.0213086579808441,0.0173466368853359,-2.33910428947066,2.82878665979595,-0.0120311089229605,-0.0739492264942384,-0.0322150999350357,-0.0200072296668813,-0.167563568915374
"TARI_TP","KBH2012_063:CA8RLANXX:2:525813",-0.0338609161552248,-0.081297420386914,-0.00813187735927682,0.0565044810697649,-0.00152182629643237,0.19769275507686,0.895090521944965,0.0130799536188201,0.127176211236906,0.0521653872739712,0.11448501028294,0.0760562336575214
"TARI_TP","KBH2012_066:CA8RLANXX:2:525808",0.0301383655573294,0.0414568729421731,0.0340264162709121,-0.0209015809686065,-0.00820465426670736,0.748357588605646,3.86328636276147,-0.0161581061339023,-0.01556063864281,0.00199556080509293,0.0686813458823438,0.0759073393201559
