"germplasmName","FullSampleName"
"TZUKG12OP13_012","UKG12OP13_012:CAAC5ANXX:4:526500"
"TZUKG12OP13_016","UKG12OP13_016:CAAC5ANXX:4:526477"
"TZUKG12OP13_017","UKG12OP13_017:CAAC5ANXX:4:526474"
"TZUKG12OP13_018","UKG12OP13_018:CA8RLANXX:8:526433"
"TZUKG12OP13_019","UKG12OP13_019:CA8RLANXX:8:526362"
"TZUKG12OP14_001","UKG12OP14_001:CA8RLANXX:8:526400"
"TZUKG12OP14_003","UKG12OP14_003:CA8RLANXX:8:526405"
"TZUKG12OP14_008","UKG12OP14_008:CA8RLANXX:8:526434"
"TZUKG12OP14_009","UKG12OP14_009:CA8RLANXX:8:526394"
"TZUKG12OP14_011","UKG12OP14_011:CAAC5ANXX:4:526450"
"TZUKG12OP14_013","UKG12OP14_013:CA8RLANXX:8:526383"
"TZUKG12OP15_004","UKG12OP15_004:CA8RLANXX:8:526420"
"TZUKG12OP15_009","UKG12OP15_009:CA8RLANXX:8:526352"
"TZUKG12OP15_010","UKG12OP15_010:CA8RLANXX:8:526412"
"TZUKG12OP15_011","UKG12OP15_011:CAAC5ANXX:4:526449"
"TZUKG12OP15_012","UKG12OP15_012:CAAC5ANXX:4:526441"
"TZUKG12OP15_015","UKG12OP15_015:CA8RLANXX:8:526430"
"TZUKG12OP15_018","UKG12OP15_018:CAAC5ANXX:4:526454"
"TZUKG12OP15_019","UKG12OP15_019:CA8RLANXX:8:526368"
"TZUKG12OP15_022","UKG12OP15_022:CAAC5ANXX:4:526475"
"TZUKG12OP15_024","UKG12OP15_024:CAAC5ANXX:4:526524"
"TZUKG12OP15_025","UKG12OP15_025:CA8RLANXX:8:526429"
"TZUKG12OP15_029","UKG12OP15_029:CA8RLANXX:8:526349"
"TZUKG12OP15_031","UKG12OP15_031:CAAC5ANXX:4:526452"
"TZUKG12OP15_037","UKG12OP15_037:CA8RLANXX:8:526411"
"TZUKG12OP15_039","UKG12OP15_039:CA8RLANXX:8:526375"
"TZUKG12OP15_040","UKG12OP15_040:CAAC5ANXX:4:526522"
"TZUKG12OP15_041","UKG12OP15_041:CAAC5ANXX:4:526487"
"TZUKG12OP15_042","UKG12OP15_042:CA8RLANXX:8:526393"
"TZUKG12OP15_043","UKG12OP15_043:CA8RLANXX:8:526417"
"TZUKG12OP15_046","UKG12OP15_046:CA8RLANXX:8:526376"
"TZUKG12OP15_049","UKG12OP15_049:CA8RLANXX:8:526399"
"TZUKG12OP15_053","UKG12OP15_053:CA8RLANXX:8:526422"
"TZUKG12OP15_055","UKG12OP15_055:CAAC5ANXX:4:526497"
"TZUKG12OP15_057","UKG12OP15_057:CA8RLANXX:8:526370"
"TZUKG12OP15_058","UKG12OP15_058:CA8RLANXX:8:526361"
"TZUKG12OP15_059","UKG12OP15_059:CA8RLANXX:8:526364"
"TZUKG12OP15_063","UKG12OP15_063:CA8RLANXX:8:526408"
"TZUKG1501_001","UKG1501_001:CAAC5ANXX:5:526558"
"TZUKG1501_003","UKG1501_003:CAAC5ANXX:5:526610"
"TZUKG1501_004","UKG1501_004:CAAC5ANXX:5:526584"
"TZUKG1501_005","UKG1501_005:CAAC5ANXX:6:526678"
"TZUKG1501_006","UKG1501_006:CAAC5ANXX:5:526591"
"TZUKG1501_007","UKG1501_007:CAAC5ANXX:5:526604"
"TZUKG1501_008","UKG1501_008:CAAC5ANXX:5:526603"
"TZUKG1501_009","UKG1501_009:CAAC5ANXX:5:526585"
"TZUKG1501_010","UKG1501_010:CAAC5ANXX:6:526646"
"TZUKG1501_011","UKG1501_011:CAAC5ANXX:6:526692"
"TZUKG1501_012","UKG1501_012:CAAC5ANXX:4:526483"
"TZUKG1501_013","UKG1501_013:CAAC5ANXX:5:526581"
"TZUKG1501_014","UKG1501_014:CAAC5ANXX:5:526578"
"TZUKG1501_015","UKG1501_015:CAAC5ANXX:5:526600"
"TZUKG1501_017","UKG1501_017:CAAC5ANXX:5:526572"
"TZUKG1501_018","UKG1501_018:CAAC5ANXX:5:526621"
"TZUKG1501_019","UKG1501_019:CAAC5ANXX:4:526443"
"TZUKG1501_020","UKG1501_020:CAAC5ANXX:6:526633"
"TZUKG1501_021","UKG1501_021:CAAC5ANXX:4:526467"
"TZUKG1501_022","UKG1501_022:CAAC5ANXX:6:526642"
"TZUKG1501_023","UKG1501_023:CAAC5ANXX:5:526598"
"TZUKG1501_024","UKG1501_024:CAAC5ANXX:5:526606"
"TZUKG1501_025","UKG1501_025:CAAC5ANXX:4:526460"
"TZUKG1501_026","UKG1501_026:CAAC5ANXX:6:526630"
"TZUKG1501_027","UKG1501_027:CAAC5ANXX:5:526564"
"TZUKG1501_028","UKG1501_028:CAAC5ANXX:6:526707"
"TZUKG1501_029","UKG1501_029:CAAC5ANXX:5:526556"
"TZUKG1501_030","UKG1501_030:CAAC5ANXX:5:526589"
"TZUKG1501_031","UKG1501_031:CAAC5ANXX:5:526538"
"TZUKG1501_033","UKG1501_033:CAAC5ANXX:4:526481"
"TZUKG1501_034","UKG1501_034:CAAC5ANXX:4:526482"
"TZUKG1501_035","UKG1501_035:CAAC5ANXX:4:526502"
"TZUKG1501_036","UKG1501_036:CAAC5ANXX:5:526620"
"TZUKG1501_037","UKG1501_037:CAAC5ANXX:5:526593"
"TZUKG1501_038","UKG1501_038:CAAC5ANXX:6:526701"
"TZUKG1502_001","UKG1502_001:CAAC5ANXX:5:526541"
"TZUKG1502_002","UKG1502_002:CAAC5ANXX:6:526647"
"TZUKG1502_004","UKG1502_004:CAAC5ANXX:4:526466"
"TZUKG1502_005","UKG1502_005:CAAC5ANXX:4:526480"
"TZUKG1502_006","UKG1502_006:CAAC5ANXX:5:526557"
"TZUKG1502_007","UKG1502_007:CAAC5ANXX:6:526656"
"TZUKG1502_008","UKG1502_008:CAAC5ANXX:5:526571"
"TZUKG1502_009","UKG1502_009:CAAC5ANXX:5:526628"
"TZUKG1502_010","UKG1502_010:CAAC5ANXX:4:526444"
"TZUKG1502_011","UKG1502_011:CAAC5ANXX:4:526504"
"TZUKG1502_012","UKG1502_012:CAAC5ANXX:6:526684"
"TZUKG1502_013","UKG1502_013:CAAC5ANXX:5:526560"
"TZUKG1502_014","UKG1502_014:CAAC5ANXX:5:526616"
"TZUKG1502_015","UKG1502_015:CAAC5ANXX:6:526680"
"TZUKG1502_016","UKG1502_016:CAAC5ANXX:6:526641"
"TZUKG1502_017","UKG1502_017:CAAC5ANXX:6:526631"
"TZUKG1502_018","UKG1502_018:CAAC5ANXX:5:526599"
"TZUKG1502_020","UKG1502_020:CAAC5ANXX:5:526569"
"TZUKG1502_021","UKG1502_021:CAAC5ANXX:4:526492"
"TZUKG1502_022","UKG1502_022:CAAC5ANXX:6:526702"
"TZUKG1502_023","UKG1502_023:CAAC5ANXX:4:526459"
"TZUKG1502_024","UKG1502_024:CAAC5ANXX:6:526704"
"TZUKG1502_025","UKG1502_025:CAAC5ANXX:4:526515"
"TZUKG1502_026","UKG1502_026:CAAC5ANXX:5:526536"
"TZUKG1503_001","UKG1503_001:CAAC5ANXX:5:526601"
"TZUKG1503_003","UKG1503_003:CAAC5ANXX:6:526653"
"TZUKG1503_004","UKG1503_004:CAAC5ANXX:6:526683"
"TZUKG1503_005","UKG1503_005:CAAC5ANXX:5:526546"
"TZUKG1503_006","UKG1503_006:CAAC5ANXX:5:526626"
"TZUKG1503_007","UKG1503_007:CAAC5ANXX:4:526457"
"TZUKG1503_008","UKG1503_008:CAAC5ANXX:6:526665"
"TZUKG1503_009","UKG1503_009:CAAC5ANXX:4:526445"
"TZUKG1503_010","UKG1503_010:CAAC5ANXX:5:526549"
"TZUKG1503_011","UKG1503_011:CAAC5ANXX:5:526587"
"TZUKG1503_012","UKG1503_012:CAAC5ANXX:5:526539"
"TZUKG1503_015","UKG1503_015:CAAC5ANXX:5:526580"
"TZUKG1504_002","UKG1504_002:CAAC5ANXX:4:526472"
"TZUKG1504_003","UKG1504_003:CAAC5ANXX:4:526506"
"TZUKG1504_004","UKG1504_004:CAAC5ANXX:5:526623"
"TZUKG1504_005","UKG1504_005:CAAC5ANXX:6:526713"
"TZUKG1504_006","UKG1504_006:CAAC5ANXX:4:526469"
"TZUKG1504_007","UKG1504_007:CAAC5ANXX:5:526586"
"TZUKG1504_008","UKG1504_008:CAAC5ANXX:5:526619"
"TZUKG1506_001","UKG1506_001:CAAC5ANXX:6:526703"
"TZUKG1506_002","UKG1506_002:CAAC5ANXX:6:526671"
"TZUKG1506_004","UKG1506_004:CAAC5ANXX:4:526495"
"TZUKG1506_006","UKG1506_006:CAAC5ANXX:4:526470"
"TZUKG1506_007","UKG1506_007:CAAC5ANXX:6:526695"
"TZUKG1506_008","UKG1506_008:CAAC5ANXX:6:526659"
"TZUKG1506_009","UKG1506_009:CAAC5ANXX:4:526517"
"TZUKG1506_010","UKG1506_010:CAAC5ANXX:4:526528"
"TZUKG1506_011","UKG1506_011:CAAC5ANXX:5:526592"
"TZUKG1506_013","UKG1506_013:CAAC5ANXX:5:526582"
"TZUKG1506_014","UKG1506_014:CAAC5ANXX:4:526456"
"TZUKG1506_015","UKG1506_015:CAAC5ANXX:5:526617"
"TZUKG1506_016","UKG1506_016:CAAC5ANXX:6:526644"
"TZUKG1506_017","UKG1506_017:CAAC5ANXX:5:526611"
"TZUKG1506_018","UKG1506_018:CAAC5ANXX:6:526643"
"TZUKG1506_019","UKG1506_019:CAAC5ANXX:5:526574"
"TZUKG1506_020","UKG1506_020:CAAC5ANXX:6:526667"
"TZUKG1506_021","UKG1506_021:CAAC5ANXX:5:526540"
"TZUKG1506_022","UKG1506_022:CAAC5ANXX:5:526534"
"TZUKG1506_023","UKG1506_023:CAAC5ANXX:4:526516"
"TZUKG1506_024","UKG1506_024:CAAC5ANXX:6:526629"
"TZUKG1506_025","UKG1506_025:CAAC5ANXX:4:526526"
"TZUKG1506_026","UKG1506_026:CAAC5ANXX:6:526634"
"TZUKG1506_027","UKG1506_027:CAAC5ANXX:6:526719"
"TZUKG1506_028","UKG1506_028:CAAC5ANXX:5:526594"
"TZUKG1506_029","UKG1506_029:CAAC5ANXX:5:526573"
"TZUKG1506_030","UKG1506_030:CAAC5ANXX:5:526618"
"TZUKG1506_031","UKG1506_031:CAAC5ANXX:6:526672"
"TZUKG1506_032","UKG1506_032:CAAC5ANXX:4:526529"
"TZUKG1506_033","UKG1506_033:CAAC5ANXX:5:526595"
"TZUKG1506_034","UKG1506_034:CAAC5ANXX:6:526714"
"TZUKG1506_035","UKG1506_035:CAAC5ANXX:4:526518"
"TZUKG1506_036","UKG1506_036:CAAC5ANXX:4:526531"
"TZUKG1506_038","UKG1506_038:CAAC5ANXX:6:526691"
"TZUKG1506_039","UKG1506_039:CAAC5ANXX:6:526636"
"TZUKG1506_040","UKG1506_040:CAAC5ANXX:5:526612"
"TZUKG1506_041","UKG1506_041:CAAC5ANXX:4:526446"
"TZUKG1506_042","UKG1506_042:CAAC5ANXX:5:526613"
"TZUKG1506_043","UKG1506_043:CAAC5ANXX:6:526715"
"TZUKG1506_044","UKG1506_044:CAAC5ANXX:6:526668"
"TZUKG1506_045","UKG1506_045:CAAC5ANXX:4:526527"
"TZUKG1506_046","UKG1506_046:CAAC5ANXX:6:526681"
"TZUKG1506_047","UKG1506_047:CAAC5ANXX:6:526705"
"TZUKG1506_048","UKG1506_048:CAAC5ANXX:4:526447"
"TZUKG1506_050","UKG1506_050:CAAC5ANXX:5:526559"
"TZUKG1506_051","UKG1506_051:CAAC5ANXX:6:526648"
"TZUKG1506_052","UKG1506_052:CAAC5ANXX:5:526535"
"TZUKG1506_053","UKG1506_053:CAAC5ANXX:5:526547"
"TZUKG1506_054","UKG1506_054:CAAC5ANXX:6:526677"
"TZUKG1506_055","UKG1506_055:CAAC5ANXX:6:526716"
"TZUKG1508_001","UKG1508_001:CAAC5ANXX:5:526555"
"TZUKG1508_002","UKG1508_002:CAAC5ANXX:5:526537"
"TZUKG1510_001","UKG1510_001:CAAC5ANXX:5:526550"
"TZUKG1510_002","UKG1510_002:CAAC5ANXX:6:526670"
"TZUKG1510_003","UKG1510_003:CAAC5ANXX:6:526720"
"TZUKG1511_001","UKG1511_001:CAAC5ANXX:5:526608"
"TZUKG1511_002","UKG1511_002:CAAC5ANXX:4:526448"
"TZUKG1511_003","UKG1511_003:CAAC5ANXX:6:526637"
"TZUKG1511_004","UKG1511_004:CAAC5ANXX:5:526615"
"TZUKG1512_001","UKG1512_001:CAAC5ANXX:5:526567"
"TZUKG1515_001","UKG1515_001:CAAC5ANXX:5:526533"
"TZUKG1516_001","UKG1516_001:CAAC5ANXX:5:526563"
"TZUKG15OP07_001","UKG15OP07_001:CAAC5ANXX:4:526493"
"TZUKG15OP07_002","UKG15OP07_002:CAAC5ANXX:6:526666"
"TZUKG15OP07_003","UKG15OP07_003:CAAC5ANXX:6:526708"
"TZUKG15OP07_004","UKG15OP07_004:CAAC5ANXX:5:526588"
"TZUKG15OP07_005","UKG15OP07_005:CAAC5ANXX:5:526544"
"TZUKG15OP07_006","UKG15OP07_006:CAAC5ANXX:4:526484"
"TZUKG15OP07_007","UKG15OP07_007:CAAC5ANXX:4:526491"
"TZUKG15OP07_008","UKG15OP07_008:CAAC5ANXX:4:526496"
"TZUKG15OP07_009","UKG15OP07_009:CAAC5ANXX:4:526468"
"TZUKG15OP07_010","UKG15OP07_010:CAAC5ANXX:4:526458"
"TZUKG15OP07_011","UKG15OP07_011:CAAC5ANXX:5:526576"
"TZUKG15OP07_012","UKG15OP07_012:CAAC5ANXX:6:526645"
"TZUKG15OP07_013","UKG15OP07_013:CAAC5ANXX:5:526562"
"TZUKG15OP07_014","UKG15OP07_014:CAAC5ANXX:5:526624"
"TZUKG15OP07_015","UKG15OP07_015:CAAC5ANXX:5:526561"
"TZUKG15OP07_016","UKG15OP07_016:CAAC5ANXX:6:526693"
"TZUKG15OP07_017","UKG15OP07_017:CAAC5ANXX:5:526575"
"TZUKG15OP07_018","UKG15OP07_018:CAAC5ANXX:4:526530"
"TZUKG15OP07_019","UKG15OP07_019:CAAC5ANXX:5:526625"
"TZUKG15OP07_020","UKG15OP07_020:CAAC5ANXX:6:526689"
"TZUKG15OP07_021","UKG15OP07_021:CAAC5ANXX:5:526548"
"TZUKG15OP07_022","UKG15OP07_022:CAAC5ANXX:5:526554"
"TZUKG15OP07_023","UKG15OP07_023:CAAC5ANXX:6:526706"
"TZUKG15OP07_024","UKG15OP07_024:CAAC5ANXX:5:526607"
"TZUKG15OP07_025","UKG15OP07_025:CAAC5ANXX:5:526583"
"TZUKG15OP07_026","UKG15OP07_026:CAAC5ANXX:4:526479"
"TZUKG15OP07_027","UKG15OP07_027:CAAC5ANXX:5:526568"
"TZUKG15OP07_028","UKG15OP07_028:CAAC5ANXX:6:526696"
"TZUKG15OP07_029","UKG15OP07_029:CAAC5ANXX:4:526494"
"TZUKG15OP07_030","UKG15OP07_030:CAAC5ANXX:4:526507"
"TZUKG15OP07_031","UKG15OP07_031:CAAC5ANXX:6:526679"
"TZUKG15OP07_032","UKG15OP07_032:CAAC5ANXX:6:526717"
"TZUKG15OP07_033","UKG15OP07_033:CAAC5ANXX:6:526654"
"TZUKG15OP07_034","UKG15OP07_034:CAAC5ANXX:5:526602"
"TZUKG15OP07_035","UKG15OP07_035:CAAC5ANXX:5:526566"
"TZUKG15OP07_036","UKG15OP07_036:CAAC5ANXX:4:526455"
"TZUKG15OP07_037","UKG15OP07_037:CAAC5ANXX:6:526669"
"TZUKG15OP07_040","UKG15OP07_040:CAAC5ANXX:6:526682"
"TZUKG15OP07_041","UKG15OP07_041:CAAC5ANXX:6:526694"
"TZUKG15OP07_042","UKG15OP07_042:CAAC5ANXX:6:526649"
"TZUKG15OP07_043","UKG15OP07_043:CAAC5ANXX:5:526597"
"TZUKG15OP07_044","UKG15OP07_044:CAAC5ANXX:4:526532"
"TZUKG15OP07_045","UKG15OP07_045:CAAC5ANXX:5:526590"
"TZUKG15OP07_046","UKG15OP07_046:CAAC5ANXX:4:526503"
"TZUKG15OP07_047","UKG15OP07_047:CAAC5ANXX:4:526505"
"TZUKG15OP07_048","UKG15OP07_048:CAAC5ANXX:5:526622"
"TZUKG15OP07_049","UKG15OP07_049:CAAC5ANXX:5:526577"
"TZUKG15OP07_050","UKG15OP07_050:CAAC5ANXX:6:526635"
"TZUKG15OP07_051","UKG15OP07_051:CAAC5ANXX:5:526565"
"TZUKG15OP07_052","UKG15OP07_052:CAAC5ANXX:5:526596"
"TZUKG15OP07_053","UKG15OP07_053:CAAC5ANXX:5:526552"
"TZUKG15OP07_054","UKG15OP07_054:CAAC5ANXX:4:526514"
"TZUKG15OP07_055","UKG15OP07_055:CAAC5ANXX:5:526614"
"TZUKG15OP07_056","UKG15OP07_056:CAAC5ANXX:5:526545"
"TZUKG15OP07_057","UKG15OP07_057:CAAC5ANXX:5:526542"
"TZUKG15OP07_058","UKG15OP07_058:CAAC5ANXX:4:526508"
"TZUKG15OP07_059","UKG15OP07_059:CAAC5ANXX:5:526551"
"TZUKG15OP07_060","UKG15OP07_060:CAAC5ANXX:4:526520"
"TZUKG15OP07_061","UKG15OP07_061:CAAC5ANXX:6:526718"
"TZUKG15OP07_062","UKG15OP07_062:CAAC5ANXX:5:526609"
"TZUKG15OP07_063","UKG15OP07_063:CAAC5ANXX:6:526655"
"TZUKG15OP07_064","UKG15OP07_064:CAAC5ANXX:6:526632"
"TZUKG15OP09_001","UKG15OP09_001:CAAC5ANXX:6:526657"
"TZUKG15OP09_002","UKG15OP09_002:CAAC5ANXX:5:526553"
"TZUKG15OP14_001","UKG15OP14_001:CAAC5ANXX:5:526543"
"TZUKG15OP14_002","UKG15OP14_002:CAAC5ANXX:5:526605"
"TZUKG15OP14_003","UKG15OP14_003:CAAC5ANXX:4:526519"
"TZUKG15OP14_004","UKG15OP14_004:CAAC5ANXX:5:526570"
"TZUKG15OP14_005","UKG15OP14_005:CAAC5ANXX:5:526579"
"COLICANANA","COLICANANA:250442941"
"F19-NL",NA
"MM06_0138",NA
"UG110001",NA
"OKHUMERELA",NA
"KALINGISI",NA
"TZUKG09_128MF",NA
"TZUKG09_164KBM",NA
"TZUKG09_181KBM",NA
"TZUKG09_52MF",NA
"TZUKG09_59MF",NA
"TZUKG09_74MF",NA
"MAYENZI",NA
"TZUKG1205_001","UKG1205_001:CAAC5ANXX:7:526783"
"TZUKG1205_005","UKG1205_005:CAAC5ANXX:7:526802"
"TZUKG1205_010","UKG1205_010:CAAC5ANXX:7:526786"
"TZUKG1205_015","UKG1205_015:CAAC5ANXX:7:526805"
"TZUKG1205_023","UKG1205_023:CAAC5ANXX:7:526779"
"TZUKG1205_063","UKG1205_063:CAAC5ANXX:7:526817"
"TZUKG1205_066","UKG1205_066:CAAC5ANXX:7:526774"
"TZUKG1205_077","UKG1205_077:CAAC5ANXX:7:526775"
